class_child,class_parent,year,param,down_err,up_err,signif,signif01,signif001
Young,Right,2019,-0.000659779511411397,0.03269388291503071,0.03269388291503071,False,False,False
Old,Young,2019,-0.03491649625220953,0.035214176015006225,0.03521417601500622,True,True,False
Old,Old,2019,0.06581510701490662,0.02870986393599561,0.028709863935995616,True,True,True
Old,Male,2019,-0.02573262383487336,0.03111944017434405,0.031119440174344055,True,True,False
Old,Female,2019,0.0022568216474741615,0.02938049720151849,0.02938049720151849,False,False,False
Old,Poor,2019,-0.021488711118125902,0.03311633864290027,0.03311633864290027,True,False,False
Old,Rich,2019,0.009988881899502743,0.02967838669153707,0.02967838669153708,False,False,False
Old,Left,2019,0.004296543512464922,0.02957792872727833,0.029577928727278335,False,False,False
Old,Right,2019,-0.010354232706173,0.030392761513403733,0.030392761513403733,False,False,False
Male,Young,2019,0.0017607107742320148,0.034441498732057846,0.034441498732057846,False,False,False
Male,Old,2019,-0.022266109481441723,0.028670726809227266,0.028670726809227266,True,False,False
Male,Male,2019,0.051514376788755686,0.030654268016306954,0.030654268016306954,True,True,True
Male,Female,2019,0.0007057464892742507,0.02928142141852704,0.02928142141852704,False,False,False
Male,Poor,2019,-0.017980671379251557,0.03263691540661676,0.03263691540661676,False,False,False
Male,Rich,2019,-0.005201376938781199,0.02954692573900833,0.029546925739008325,False,False,False
Male,Left,2019,-0.01492525961838452,0.02938754067417057,0.029387540674170567,False,False,False
Male,Right,2019,0.00460532800798543,0.03007597471368178,0.03007597471368178,False,False,False
Female,Young,2019,0.0035444064125711295,0.034231564491146116,0.034231564491146116,False,False,False
Female,Old,2019,0.014571766708442088,0.028245950090262057,0.028245950090262054,False,False,False
Female,Male,2019,-0.031036818967687053,0.030549812378068388,0.030549812378068388,True,True,True
Female,Female,2019,0.04030976600501757,0.0286955927710397,0.028695592771039696,True,True,True
Female,Poor,2019,-0.015957780533987703,0.032274925718126374,0.032274925718126374,False,False,False
Female,Rich,2019,-0.002103274807414848,0.029081552160550035,0.029081552160550035,False,False,False
Female,Left,2019,0.014722065501156272,0.0289622380544748,0.028962238054474804,False,False,False
Female,Right,2019,-0.02821826853770779,0.029692946601194096,0.029692946601194096,True,True,False
Poor,Young,2019,0.016918987380476185,0.03538324092813819,0.03538324092813819,False,False,False
Poor,Old,2019,-0.01858228129025002,0.029591830852496396,0.0295918308524964,True,False,False
Poor,Male,2019,0.003987683712337595,0.031779484499853336,0.031779484499853336,False,False,False
Poor,Female,2019,0.002301269524276417,0.030123436482739626,0.03012343648273963,False,False,False
Poor,Poor,2019,0.031138703752559477,0.03348802155989919,0.03348802155989919,True,True,False
Poor,Rich,2019,-0.026644311940118258,0.030576369786367734,0.030576369786367734,True,True,False
Poor,Left,2019,-0.005142021407073266,0.03027055233683138,0.03027055233683138,False,False,False
Poor,Right,2019,0.0018949519366952272,0.03092674555390439,0.030926745553904386,False,False,False
Rich,Young,2019,-0.017822529557780454,0.036330016357681794,0.036330016357681794,False,False,False
Rich,Old,2019,-0.004093590382878626,0.029752613061411186,0.029752613061411186,False,False,False
Rich,Male,2019,0.008587906651436245,0.03221540095404082,0.03221540095404082,False,False,False
Rich,Female,2019,-0.021603741005163747,0.030351185550999624,0.030351185550999624,True,False,False
Rich,Poor,2019,-0.04088267558641944,0.0343741578188942,0.034374157818894205,True,True,True
Rich,Rich,2019,0.039720419501749246,0.030674618901548465,0.03067461890154846,True,True,True
Rich,Left,2019,0.014264678182763063,0.030575781201274098,0.03057578120127409,False,False,False
Rich,Right,2019,-0.016671909478113547,0.031404466496119526,0.031404466496119526,False,False,False
Left,Young,2019,-0.04437124539396466,0.03573646503226754,0.03573646503226754,True,True,True
Left,Old,2019,0.02656862754012911,0.02950973994355562,0.02950973994355562,True,True,False
Left,Male,2019,-0.02091666169318528,0.0318042105739241,0.0318042105739241,True,False,False
